Store Name,Address,Location,Timings,Phone,store_url,store_code
Tilak Road,"Shop No 2G, Srihari Soudha Building, DNo 79/2/4/4, Tilak Road, Opposite Karur Vysya Bank, Rajahmundry, Andhra Pradesh, 533103",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7428890158,/stores/optometrist-sunglasses-tilak-road-east-godavari-61151/Home,ST158
GT Road VRC Centre,"Shop No 17/288/1, Ground Floor, Keerthy Towers, Grand Trunk Road, VRC Centre, Nellore, Andhra Pradesh, 524001",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9582598248,/stores/lenskart-com-gt-road-vrc-centre-grand-trunk-road-nellore-417824/Home,LKST1996
"Vizag, Seethammadara","50-111-1, Seethammadhara Road, Tpt Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh, 530013",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929435387,/stores/lenskart-com-vizag-seethammadara-seethammadara-visakhapatnam-24718/Home,LKST954
Guntur,"No 12/25/46/A, Revenue Ward 27, Assessment No, 76262, 76263, Ground Floor, Kothapet Main Road, Kothapet, Opposite Sudarshan Eye Hospital, Guntur, Andhra Pradesh, 522001",Andhra-Pradesh,11:00 AM to 09:30 PM,91 7838234671,/stores/lenskart-com-guntur-kothapet-guntur-564086/Home,ST390
Madanapalle,"4-55,56, Modem Towers, Patel Road, Annamayya, Madanapalle, Andhra Pradesh, 517325",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8929270379,/stores/lenskart-com-madanapalle-annamayya-madanapalle-197654/Home,ST503
Vedayapalam,"D No 26-2, Survey No 1940, Plot No 55, Chaitanyapuri, Vedayapalem, Revenue Ward No 26 II, Nellore, Andhra Pradesh, 524004",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9582551541,/stores/lenskart-com-vedayapalam-vedayapalem-nellore-252614/Home,LKST1916
Mahanadu Road,"H No 52-1/1-1B, Ground Floor, Veternory Colony, NH 5 Service Road, Revenue Ward 2, Mahanadu Road, Vijayawada, Andhra Pradesh, 520008",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9582434697,/stores/lenskart-com-mahanadu-road-mahanadu-road-vijayawada-675208/Home,LKST2093
Ongole,"Dno 5-417, Kurnool Road, Kurnool Road, Opposite Chimakurthy Eye Hospital, Ongole, Andhra Pradesh, 523001",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8929083596,/stores/lenskart-com-ongole-kurnool-road-ongole-790000/Home,ST399
"Sector 6, MVP Colony","2/30/26/1, Jami Function Hall, Sector 6, Mvp Colony, Near Mg Cancer Hospital, Visakhapatnam, Andhra Pradesh, 530017",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7428890205,/stores/optometrist-sunglasses-sector-6-visakhapatnam-61187/Home,ST205
Lakshmipuram,"H No 8/7 & 8/8, Anand Nilayam, Main Road, Lakshmipuram, Near Ntr Municipal Stadium, Guntur, Andhra Pradesh, 522007",Andhra-Pradesh,11:00 AM to 09:30 PM,91 7428890224,/stores/optometrist-sunglasses-lakshmipuram-guntur-61206/Home,ST224
Daba Gardens,"Shop No G1, Door No 30-15-158, City Plaza, Daba Gardens, Opposite Sharma Sports, Visakhapatnam, Andhra Pradesh, 530020",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929435360,/stores/lenskart-com-daba-gardens-daba-gardens-vizag-269845/Home,LKST817
Kavali,"D No 10-15-35, Abm Compound Area, Kavali Bit 2, Shop No G-21 & F-21, Survey Number 1080/3-1, 1080/2, Kavali, Kavali, Andhra Pradesh, 524201",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8929162485,/stores/lenskart-com-kavali-kavali-kavali-40208/Home,ST531
Rajahmundry,"46-7-33, Danavipeta, Danavipeta, Rajahmundry, Andhra Pradesh, 533103",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929210979,/stores/lenskart-com-rajahmundry-danavaipet-rajahmundry-83231/Home,LKST1460
Kadapa,"Ground Floor, PP Sri Chaitanya School, Rajiv Park Road, Next To More Super Market, Kadapa, Andhra Pradesh, 516001",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8929310236,/stores/lenskart-com-kadapa-rajiv-park-road-kadapa-791524/Home,ST434
Dargamitta,"No 24-3-186, Grand Truck Road, Dargamitta, Near Kims Hospital, Nellore, Andhra Pradesh, 524003",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7303833834,/stores/lenskart-com-dargamitta-dargamitta-nellore-239683/Home,ST338
Ramavarapadu,"D.No 10-157, Tankasala Vari Centre, Beside HDFC Bank, Enikepadu Complex, Ramavarapadu, Vijayawada, Andhra Pradesh, 521108",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9582637036,/stores/lenskart-com-ramavarapadu-ramavarapadu-vijayawada-153731/Home,LKST1929
"RTC Bus Stand Road, Anantapur","13-3-338 B, Ground Floor, Amar Inn Lodge, Bus Stand Road2, Srinivas Nagar, Anantapur, Andhra Pradesh, 515001",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7428890257,/stores/optometrist-sunglasses-srikamtam-circle-ananthapur-61237/Home,ST257
Vijayawada,"H No 76-8-5/3, Survey No 66/1, Plot No 4, Bhavanipuram, Crombay Road No 1, Bhagatsingh Road, Vijayawada Town, Vijayawada Municipal Corporation, Bhavanipuram, Vijayawada, Andhra Pradesh, 520003",Andhra-Pradesh,10:30 AM to 09:30 PM,91 8929330736,/stores/lenskart-com-vijayawada-bhavanipuram-vijayawada-197223/Home,LKST977
Bhimavaram,"27-1-4, J P Road, West Godavari, Next To Srinivasa Hospital, Bhimavaram, Andhra Pradesh, 534202",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9810734735,/stores/lenskart-com-bhimavaram-j-p-road-bhimavaram-373905/Home,ST347
Proddatur,"Door #8/702, Gandhi Road, Opposite Posinsa Compound, Proddatur, Andhra Pradesh, 516360",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8447835812,/stores/lenskart-com-proddatur-gandhi-road-proddatur-832356/Home,ST532
Kurmannapalem,"Door No 31-27-66, Shop No 3, Ground Floor, Beside Indusind ATM, Kurmanna Palem, Revenue Ward 58, Visakhapatnam, Andhra Pradesh, 530046",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9953828063,/stores/lenskart-com-kurmannapalem-kurmanna-palem-visakhapatnam-138943/Home,LKST2229
Meghana Mall,"Shop No 46,15/29, Ground Floor, Meghana Mall, Dwarka Nagar, High Street, Near Diamond Park, Visakhapatnam, Andhra Pradesh, 530016",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8826001544,/stores/lenskart-com-dwarka-nagar-high-street-visakhapatnam-811277/Home,LKST544
Maddilapalem,"No 9-1-224/1, T S No 1036/2, Waltair Ward, Cbm Compound, Maddilapalem, Rama Talkies Road, Visakhapatnam, Andhra Pradesh, 530003",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929289664,/stores/lenskart-com-maddilapalem-maddilapalem-visakhapatnam-480855/Home,LKST1182
Marripalem,"Door No 36-46-69/4, Kancharapalem Main Road, Marripalem, Near Rama Rao Hospital, Visakhapatnam, Andhra Pradesh, 530008",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8447728768,/stores/lenskart-com-marripalem-kancharapalem-visakhapatnam-218136/Home,LKST863
Rajahmundry,"31-1-30, Janda Panja Road, Near Ajantha Hotel, Rajahmundry, Andhra Pradesh, 533101",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8447730276,/stores/lenskart-com-rajahmundry-janda-panja-road-rajahmundry-423138/Home,ST427
Sujathanagar,"7-183/1/1, Survey No 145/5, Opposite Reliance Smart Point, Ratnagiri Nagar Greater, Visakhapatnam, Andhra Pradesh, 530051",Andhra-Pradesh,10:30 AM to 09:30 PM,91 7291823867,/stores/lenskart-com-sujathanagar-ratnagiri-nagar-greater-visakhapatnam-7447/Home,LKST1952
Gujjanagulla,"Door No 4-18-37/1, 7th line, Chandramouli Nagar, Beside Platinum Cinemas, Gujjanagulla, Guntur, Andhra Pradesh, 522007",Andhra-Pradesh,10:30 AM to 09:30 PM,91 9953680146,/stores/lenskart-com-gujjanagulla-gujjanagulla-guntur-352590/Home,LKST2174
Jagdamba Vizag,"Ground Floor, Venu Regency, Ram Nagar, Jagdamba, Maddilapalem, Visakhapatnam, Andhra Pradesh, 530003",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8929328702,/stores/lenskart-com-jagdamba-maddilapalem-jagdamba-visakhapatnam-532385/Home,LKST1217
Poranki Vijayawada,"1-262/1 Poranki Gram Sri Rama Complex, Panchayat, Tadigadapa Centre MG Road, Penamaliri Mandal, Kankipadu Sub Reg Area, Krishna District, Vijayawada, Andhra Pradesh 521137",Andhra-Pradesh,10:30 AM to 09:30 PM,91 8742939735,/stores/lenskart-com-poranki-vijayawada-krishna-district-vijayawada-658678/Home,LKST1533
Anakapalle,"12-1-22/5, 4 Road, Nehru Chowk, Next To Sbi Main Branch, Anakapalle, Andhra Pradesh, 531001",Andhra-Pradesh,11:00 AM to 09:00 PM,91 7290022123,/stores/lenskart-com-anakapalle-anakapalle-anakapalle-995009/Home,ST412
SRMT Mall,"Shop No 206, Ground Floor, Srmt Mall, Sarpavaram Junction, Lalitha Nagar, Besides Kamal Watch Co, Kakinada, Andhra Pradesh, 533005",Andhra-Pradesh,11:00 AM to 09:30 PM,91 8588941394,/stores/optometrists-lalitha-nagar-kakinada-68120/Home,LKST394
MVP Double Road,"Ground Floor D No 1-83-47/1, New Venkojipalem, Revenue Ward 8, Srinivasa Plaza, MVP Double Road, MVP Colony, Visakhapatnam, Andhra Pradesh, 530017",Andhra-Pradesh,11:00 AM to 09:30 PM,91 9953592608,/stores/lenskart-com-mvp-double-road-mvp-double-road-mvp-colony-visakhapatnam-449613/Home,LKST2242
Adoni,"1/54/17, Sri Ramnagar Colony, AAS College Road, Kurnool District, Adoni, Andhra Pradesh, 518301",Andhra-Pradesh,11:00 AM to 09:00 PM,91 8447925965,/stores/lenskart-com-adoni-kurnool-district-adoni-243897/Home,ST571
Eluru Road,"#27-1-58, Sathya Estate, Muddha Subbaiah Street, Governor Pet, Eluru Road, Near South India Shopping Mall, Vijayawada, Andhra Pradesh, 520002",Andhra-Pradesh,10:30 AM to 09:30 PM,91 8800211649,/stores/lenskart-com-eluru-road-vijayawada-eluru-road-vijayawada-495648/Home,LKST649
TTD Road Nandyal,"25-695-10, Ttd Road, Srinivasa Nagar, Opposite V-Mart, Nandyal, Andhra Pradesh, 518501",Andhra-Pradesh,11:00 AM to 09:00 PM,91 9667274275,/stores/lenskart-com-ttd-road-nandyal-srinivasa-nagar-nandyal-726691/Home,ST465
Naharlagun,"Sector A, Nh 415, Sector A, Near Blackberry Store, Naharlagun, Arunachal Pradesh, 791110",Arunachal-Pradesh,10:00 AM to 08:00 PM,91 8929157897,/stores/lenskart-com-naharlagun-sector-a-naharlagun-564074/Home,ST493
Baihata Chariali,"Ground Floor, Dag No 1939, Guwahati Road, Baihata Chariali, Assam, 781381",Assam,10:30 AM to 09:00 PM,91 7065045104,/stores/lenskart-com-baihata-chariali-guwahati-road-baihata-chariali-146274/Home,LKST1561
Dr. B Baruah Road,"Royal Arcade, Dr. B Barua Road, Ulubari, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,91 8447745421,/stores/lenskart-com-dr.-b-baruah-road-ulubari-guwahati-34570/Home,LKST802
Kokrajhar,"Ward No 4, J D Road, Near HDFC Bank, Sankar Baruah, Kokrajhar, Assam 783370",Assam,11:00 AM to 09:00 PM,91 9643803629,/stores/lenskart-com-kokrajhar-sankar-baruah-kokrajhar-461830/Home,LKST2308
Lalganesh,"Ground Floor, Lokhra Road, Kalapahar, Next To Icici Kalapahar Branch, Guwahati, Assam, 781018",Assam,10:30 AM to 09:00 PM,91 9311773718,/stores/lenskart-com-lalganesh-kalapahar-guwahati-304055/Home,LKST1218
Flagship Store Lachitnagar,"Ground Floor, Gs Road, South Sarania, Lachit Nagar, Ulubari, Near Ulubari Petrol Pump, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,91 7303261262,/stores/lenskart-com-ulubari-ulubari-lachit-nagar-guwahati-934902/Home,LKST695
Rehabari,"Rishav Plaza, A K Azad Road, Rehabari, Beside Apollo Pharmacy, Guwahati, Assam, 781008",Assam,10:30 AM to 09:00 PM,91 7303182183,/stores/lenskart-com-rehabari-guwahati-rehabari-guwahati-706487/Home,LKST627
Tinsukia,"Rangagora Road, Near Ultra Lab, Tinsukia, Assam, 786125",Assam,10:00 AM to 08:00 PM,91 9811031027,/stores/lenskart-com-tinsukia-rangagora-road-tinsukia-870378/Home,ST611
Asian Palace,"Ground Floor, Asian Palace, GS Road, Ulubari Opposite People Store, Near LIC Office, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,91 9811039635,/stores/lenskart-com-asisan-palace-bhanaghar-guwahati-629213/Home,LKST1743
Dibrugarh,"Ground Floor, Mancotta Road, Mancotta Road, Near Thana Charali, Dibrugarh, Assam, 786001",Assam,10:30 AM to 09:00 PM,91 9582892445,/stores/lenskart-com-dibrugarh-mancotta-road-dibrugarh-621657/Home,LKST1675
At Road Jorhat,"Ground Floor, Near Hdfc Bank Tarajan, At Road, Jorhat, Assam, 785001",Assam,11:00 AM to 09:00 PM,91 3764060264,/stores/lenskart-com-at-road-jorhat-at-road-jorhat-112965/Home,LKST2245
Silpukhuri,"Ground Floor, Gnb Road, Silpukhuri, Kamrup Metropolition, Silpukhuri, Near Lakshmi Service Station, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM,91 7289061323,/stores/lenskart-com-silpukhuri-guwahati-silpukhuri-guwahati-401413/Home,ST323
Zoo Road,"R G Baruah Road, Spanish Garden, Opposite State Zoo, Spanish Garden, Beside Indian Petrol Pump, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM,91 8929435267,/stores/lenskart-com-zoo-road-spanish-garden-guwahati-442615/Home,LKST745
Tezpur,"Ground Floor, Hotel Central Point, Opposite Tezpur Police Station, Tezpur, Assam, 784001",Assam,11:00 AM to 09:00 PM,91 9582516764,/stores/lenskart-com-tezpur-tezpur-tezpur-44332/Home,LKST1914
Maligaon Chariali,"Gate No 1, Maligaon Chariali, Guwahati, Assam, 781011",Assam,10:30 AM to 09:00 PM,91 9718301704,/stores/lenskart-com-maligaon-chariali-chariali-guwahati-463599/Home,LKST1649
Chapaguri,"Ground Floor, Chapaguri Road, Opposite Hotel Jahnabee Regency, North Bongaigaon, Amguri, Bongaigaon, Assam, 783380",Assam,10:00 AM to 09:00 PM,91 9582340673,/stores/lenskart-com-chapaguri-chapaguri-bongaigaon-245598/Home,LKST1674
Central Mall,"Shop No 103, Ground Floor, Central Mall, Christian Basti, G S Road, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM,91 9582601631,/stores/lenskart-com-central-mall-g-s-road-guwahati-708769/Home,LKST2020
Marwaripatty,"Tripal House, At Road, Marwaripatty, Near Indian Oil Petrol Pump, Nagaon, Assam, 782001",Assam,10:00 AM to 08:30 PM,91 7428890188,/stores/optometrist-sunglasses-marwaripatty-nagaon-61170/Home,ST188
Bamunimaidan,"Ground Floor, Girish Mansion, Maniram Dewan Road, Bamunimaidan, Beside Reliance Trends, Guwahati, Assam, 781021",Assam,11:00 AM to 09:00 PM,91 8929176106,/stores/lenskart-com-bamunimaidan-bamunimaidan-guwahati-53553/Home,LKST1452
Rangia,"Ground Floor & Upper Floor, Rangia Town, Mouza Panduri , P S Rangia Under Rangia Revenue Circle, District Kamrup, Guwahati, Assam, 781354",Assam,10:30 AM to 09:00 PM,91 8742965758,/stores/lenskart-com-rangia-kamrup-guwahati-882715/Home,LKST1601
Tezpur,"Style Bazar Building, Mahidhar Borah Road, Mahidhar Borah Road, Opposite Eidgah, Tezpur, Assam, 784001",Assam,10:00 AM to 08:30 PM,91 8447902982,/stores/lenskart-com-tezpur-mahidhar-borah-road-tezpur-155623/Home,ST553
Silchar,"N S Avenue, Silchar, Ranghirkhari, Opposite Life Line Hospital, Silchar, Assam, 788005",Assam,10:30 AM to 09:00 PM,91 8929335947,/stores/lenskart-com-silchar-ranghirkhari-silchar-364900/Home,ST499
NCS Adabari,"Ground Floor, Ncs Square Mall, Adabari, P O & P S Bolpur, Adabari, Guwahati, Assam, 781014",Assam,10:30 AM to 09:00 PM,91 8929346634,/stores/lenskart-com-ncs-adabari-adabari-guwahati-17349/Home,LKST1113
Duliajan,"16 No Tiniali, Duliajan, Duliajan Oil Town, Dibrugarh, Assam, 786602",Assam,11:00 AM to 09:00 PM,91 9582919392,/stores/lenskart-com-duliajan-duliajan-dibrugarh-483112/Home,LKST2135
AT Road Sivasagar,"Ward No 13, Station Chariali, AT Road, Sivasagar, Assam, 785640",Assam,11:00 AM to 09:00 PM,91 9953832735,/stores/lenskart-com-at-road-sivasagar-at-road-sivasagar-542173/Home,LKST2172
Nalbari,"Ground Floor Rouchand Complex, Ward No 8, Barama Road, Opposite DC Office, Nalbari, Assam, 781335",Assam,11:00 AM to 09:00 PM,91 8743820575,/stores/lenskart-com-nalbari-barama-road-nalbari-221845/Home,LKST1702
Jorhat,"Gar-Ali, Jorhat, Gar-Ali, Opposite Gar Ali Masjid, Jorhat, Assam, 785001",Assam,10:30 AM to 09:00 PM,91 9667242243,/stores/lenskart-com-jorhat-jorhat-jorhat-928584/Home,ST472
City Centre Mall,"Shop No Ff28, First Floor, City Centre Mall, Christian Basti, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM,91 8588091387,/stores/lenskart-city-center-mall-optometrists-christian-basti-guwahati-69090/Home,LKST387
Hatigaon,"Ground Floor, House No 13, Uttam Marriage Hall, Hatigaon, Hatigaon, Near Bpcl Petrol Pump, Guwahati, Assam, 781038",Assam,11:00 AM to 09:00 PM,91 7428890156,/stores/lenskart-com-hatigaon-hatigaon-guwahati-529997/Home,LKST872
Dispur,"Ground Floor, Ld Plaza, Gs Road, Dispur, Opposite Assam Secretariat, Guwahati, Assam, 781006",Assam,10:30 AM to 09:00 PM,91 7428890249,/stores/optometrist-sunglasses-dispur-guwahati-61229/Home,ST249
Khagaul Road,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",Bihar,10:30 AM to 08:30 PM,91 7065045108,/stores/lenskart-com-khagaul-road-anisabad-patna-867150/Home,LKST1598
Gola Road,"Gola Road, Mouza Danapur, Near V Mart, Shehzadpur Bank Colony Road, Pargana Phulwari, Thana Danapur Sadar Registry, Patna, Bihar, 801503",Bihar,11:00 AM to 09:00 PM,91 9873918684,/stores/lenskart-com-gola-road-pargana-phulwari-patna-282529/Home,LKST2089
Ashok Rajpath,"Ground Floor, Ashok Rajpath, Near Pmch Gate Number 2, Ashok Rajpath, Opposite Bihar Youth Men'S Institute, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM,91 9582952507,/stores/lenskart-com-ashok-rajpath-ashok-rajpath-patna-746792/Home,LKST908
Jamui,"Ground Floor, AAS Hotal, kachari Road, Jamui, Bihar, 811307",Bihar,11:00 AM to 09:00 PM,91 8744060205,/stores/lenskart-com-jamui-kachari-road-jamui-642529/Home,ST606
Bettiah,"Banuchapar, N H 28, Supriya Cinema Road, West Champaran, Near St. Joseph School, Bettiah, Bihar, 845438",Bihar,10:00 AM to 08:00 PM,91 8447745709,/stores/lenskart-com-bettiah-banuchapar-bettiah-506582/Home,ST438
Kurji Road,"Circle 247B, Holding 817A/2, Patliputra Circle, Ward 22B, Kurji Road, Kurji Road, Opposite Rbi Quarter, Patna, Bihar, 800010",Bihar,10:30 AM to 08:30 PM,91 8447732746,/stores/lenskart-com-kurji-road-kurji-road-patna-179937/Home,LKST789
West Boring Canal Road,"Shop No 22, Jagdish Lok Apartment, , West Boring Canal Road, Near Harilal'S Sweets, Patna, Bihar, 800001",Bihar,11:00 AM to 09:00 PM,91 7428890080,/stores/optometrist-sunglasses-west-boring-canal-road-patna-61294/Home,ST80
Samastipur,"Main Road, Mohanpur, Mohanpur, Near Reliance Trends, Samastipur, Bihar, 848101",Bihar,10:30 AM to 08:30 PM,91 8929170401,/stores/lenskart-com-samastipur-mohanpur-samastipur-339810/Home,ST506
"Kumhrar Park, Sandalpur Patna","Ground Floor, Vachaspati Nagar, Opposite Kumhrar Park, Sandalpur, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM,91 6124137431,/stores/lenskart-com-kumhrar-park-sandalpur-patna-sandalpur-patna-686147/Home,LKST2320
Dakbunglow Road,"Shop No 143, Ground Floor, Block C, Mauryalok Complex, Dak Bunglow Road, Near Police Station Kotwali, Patna, Bihar, 800001",Bihar,10:30 AM to 09:00 PM,91 7428890113,/stores/optometrist-sunglasses-dak-banglow-patna-61115/Home,ST113
Laheriasarai,"Laheriasarai Tower, Vip Road , Laheriasarai, Opposite Petrol Pump, Darbhanga, Bihar, 846001",Bihar,10:30 AM to 09:00 PM,91 8929337387,/stores/lenskart-com-laheriasarai-laheriasarai-darbhanga-801456/Home,ST424
Kankarbagh,"Sn 4, Moti Mansion Apartment, Road No 2, Pc Colony, Kankarbagh, Opposite Apollo Trauma Centre, Patna, Bihar, 800020",Bihar,11:00 AM to 09:00 PM,91 7428890151,/stores/optometrist-sunglasses-kankarbagh-patna-61145/Home,ST151
Ashiana,"Ground Floor, Khata No 708, Ashiana Digha Road, Near Passport Office , Beside Aditya Vision, Patna, Bihar, 800014",Bihar,10:30 AM to 08:30 PM,91 8447822872,/stores/lenskart-com-ashiana-ashiana-dighar-road-patna-372058/Home,LKST1112
